Time (s),Acceleration (m/s^2)
0.000000,-0.000000
0.020000,0.005910
0.040000,-0.220295
0.060000,0.275547
0.080000,130.692501
0.100000,-3713.615325
0.120000,47643.375474
0.140000,8543.283148
0.160000,-13571500.090209
0.180000,299953383.487832
0.200000,-3166249908.328281
0.220000,-3356393374.367524
0.240000,790264468138.016479
0.260000,-15576507705994.027344
0.280000,147959268464316.937500
0.300000,286628042178383.250000
0.320000,-36254663646567520.000000
0.340000,661907881687893504.000000
0.360000,-5809334097030991872.000000
0.380000,-16690469873985894400.000000
0.400000,1457915916323159801856.000000
0.420000,-25058286888399933538304.000000
0.440000,205261554178549430091776.000000
0.460000,799763416771281385684992.000000
0.480000,-53895133129708864398163968.000000
0.500000,879620591511739639227482112.000000
0.520000,-6749517374062349187110928384.000000
0.540000,-33964261573717011848474132480.000000
0.560000,1878735036072450096726043262976.000000
0.580000,-29268048789027863715156819181568.000000
0.600000,210459557940835598144306147229696.000000
0.620000,1327748850320839177788452916690944.000000
0.640000,-62703724296840205762937015718903808.000000
0.660000,935568603191315074060243973347213312.000000
0.680000,-6293859107279996388346446879580487680.000000
0.700000,-48852986772145425057879294544772595712.000000
0.720000,2023533873653058090329267044183388979200.000000
0.740000,-28983698486113280199863780851557171462144.000000
0.760000,181808151602142344031146903221018269057024.000000
0.780000,1716002534153816154075272221458217503293440.000000
0.800000,-63569147017159526905765438189619897314574336.000000
0.820000,875498424276524722207550318244091629802618880.000000
0.840000,-5095703339028960251488994656998582431533498368.000000
0.860000,-58102179270155268324708111383200897804577800192.000000
0.880000,1953425533754205299409042926316220648877975404544.000000
0.900000,-25897842314109913926955613923725367419161181945856.000000
0.920000,138940453346201940055873178070319061043230680285184.000000
0.940000,1909423497913631630486911177234440354046108795666432.000000
0.960000,-58926951226785759645319482307718824865257489390632960.000000
0.980000,752611050100133305739349118187357197420343715935813632.000000
1.000000,-3689599536880862074254658467610261459947214069798273024.000000
1.020000,-61214190208193800405233837355981436834749888218529792000.000000
1.040000,1749764606569512009421448296747732248088571404319360811008.000000
1.060000,-21539245920312517340351695393589942458059461074006350757888.000000
1.080000,95397415489571769363605944453158718007739110309838549155840.000000
1.100000,1921835373982907300914062538553124966278939375790066711396352.000000
1.120000,-51252464413587634269722412864168111298833755219385623464902656.000000
1.140000,608213898196199343791478724750688442400119135110882157570031616.000000
1.160000,-2397106104559908362550991209208127007173763331471204307242582016.000000
1.180000,-59264715717235656423013102245056601756628795002957410616192532480.000000
1.200000,1483374408334037506038197963760302009057248371035144266794439540736.000000
1.220000,-16970079364053929224460189694441232087898553671004410521755280474112.000000
1.240000,58300384864174055316378941785445813013295066100719194529685150105600.000000
1.260000,1799386320761190103973267242844917924445447609987864064591409228808192.000000
1.280000,-42479371264641881102438158145524367864875115398237494124958391027630080.000000
1.300000,468397651956923274744644972240899791800174594201980902560666520102371328.000000
1.320000,-1362106707852410627479883204884620534236839167150180042682114055444889600.000000
1.340000,-53893099117986900823375964772134543007864271872395049276189988636409724928.000000
1.360000,1204979590927311782332154923014496613222840550977115106130928409135470870528.000000
1.380000,-12801068464617678303846961548656122513102558261659454655119797854585097289728.000000
1.400000,30142776864434574916583193202280480127417471889304556666006915095118659715072.000000
1.420000,1594789296355656859622587900942444919829412559464780778263545637514265455755264.000000
1.440000,-33888742167615960824004604448506057948005921156271572206724083488828264405794816.000000
1.460000,346651084583005672624327248842345905906560764353429535709021027660127346997854208.000000
1.480000,-613903657634308181101835791236907168012472616190685514060125447649231913151889408.000000
1.500000,-46687306965276194408835147315486355126410980934961847232287956738603518215548043264.000000
1.520000,945669915027572861262222787997985741771615348625630034256026027525998889685382856704.000000
1.540000,-9306782601638855205520840054583964239027856138756147763508022741457130263651509338112.000000
1.560000,10716584842891588971669248820622615719162844350271664741476876346534440221934650130432.000000
1.580000,1353604859083448421014735363321988629207097135711978001783221719707295137212888151752704.000000
1.600000,-26200750948611154300090234439101401343855812036474492101896994343651697036909774685339648.000000
1.620000,247830768013661099732914245289102705128970266062635723577353960759528037957353308631859200.000000
1.640000,-121471602992285703822632711308422374211302037273061740921201691978683359002291699051397120.000000
1.660000,-38902880478019733894228446441985358123767006422066736721745684686379052645138353858774302720.000000
1.680000,721135648051527013516820996041172463290851184238752027687514337070480813326730344814579023872.000000
1.700000,-6547821411528354480998370333978123452586444837387817669410410155610637207748534803214742061056.000000
1.720000,-1442743773262777709276160044614287008033700187105425617449985450257051646316127032776494940160.000000
1.740000,1109197127675866131447574013355371529976644512002217867588511709758840969947660609988515766206464.000000
1.760000,-19726642386141194350705949679071831010547702295225583081153172802906303331422645900491493382029312.000000
1.780000,171678347733782125374153851017315348647884190133817694531769777126929564732961665057453690455064576.000000
1.800000,169734317099591388116245588273323236702339383643808942269259733343827380777176634059075598430502912.000000
1.820000,-31395340444174191982470516607428366980746632332211672297583948854745703666275091960540506167539924992.000000
1.840000,536533755734916131845214481288913280866179109104735632935367445768004759041441630478025352901308710912.000000
1.860000,-4467438502165054431794019629208931074030170470787615350420179219813275324331082780864980797787710947328.000000
1.880000,-8155203655850574219918538555875908103255066171113533466597682914837723394682073054979486917764130537472.000000
1.900000,882681365096844656366273891939093570674415990052840258307997829484135798103891838805894648520219578859520.000000
1.920000,-14514385479643211894080835916640440073984748043650862431730862390282496289527575150830477419103235730309120.000000
1.940000,115379735482582307904310564006729233977534590535425589367352875896290731236126114471524439777933485884309504.000000
1.960000,316580538759615237315082841406093833402762307802868423652780222484525817025843263150631985155855016347566080.000000
1.980000,-24662945531026231051369641658934627439553024021984272394078792173421647162280742840205397738166754770405031936.000000
2.000000,390649266801046042794366307892052217379727627301439067231646463304578382870806929700520647602616387640441700352.000000
2.020000,-2957237375133622433211399097650194810709751856211290280159356087921137955607086769909126057282378332449647099904.000000
2.040000,-11119325692015636362565552702105344814029208848920711688776237927032857710272548777781397461432051672429082181632.000000
2.060000,685141816201880797708926307191572162387715834815510833675781601568935199383522067445553109869471135378590499078144.000000
2.080000,-10463404712360632787507151604448282250179114023788920867919186903358522943603134710902501382538625462213577254371328.000000
2.100000,75203152777724510687184790295460094522662676199055614720536874687431036895090792650057648894524858819507580951330816.000000
2.120000,368112482381862439620081377700797274713867009437917547763146828282378746672222424694351360824187485366415325298425856.000000
2.140000,-18931259880606765428333013613018241073380452383294217427552629382392344615010200367115803216212587995863133829575213056.000000
2.160000,278966285365021732142437337015435178646645523627857528008919792200688930520084775311459294144016896731300834583764795392.000000
2.180000,-1896831374593394147451543850987722886659445475005627788956710967204748919498521030259428928834824069020047435439397666816.000000
2.200000,-11713357168568003293218609208812672560250063876084142791334301743422734693673179243254216224294702438044221828920764268544.000000
2.220000,520464521275600946476743280736860318226818502952170440341526745396933263392858116607793998324455121477380008958328003624960.000000
2.240000,-7404642572948487891880595422131452695002630854946730781156479660561366886447532704530297833827127355032846464935075529097216.000000
2.260000,47429006345092287073724253880404450732459077976262101397610243766714393226663268409234816285260591326628933874545601042972672.000000
2.280000,362179250547596704991833218000426260616468727256881496947118149044129743097751756119778849324298891434770734169360531382599680.000000
2.300000,-14241222650728489262359317917269783312698755870058922333499795893490428074096025202762399448625415881938471879394274036022247424.000000
2.320000,195703486092728522159907707600959478118319102579507729688509485397530669175827762074167775734026298548389914430124886100770029568.000000
2.340000,-1174827439573163136615537827618266205350750798185227179555489970017550421409278810611069809919396375737950079583145695284966719488.000000
2.360000,-10955642711912098731645290286881792791690893724269043238061870231759766318646594248288853809872829200936832939388227788638062116864.000000
2.380000,387940517158887387489910313768618652307390439688831938137467797713341849317638128204746956376816604130036736297433628762624615251968.000000
2.400000,-5151005614804188075097687398764527242804693820120571706664762588868728888663938542330605067343018622872431179425705591014134145613824.000000
