Time (s),Acceleration (m/s^2)
0.000000,0.000000
0.020000,-0.011304
0.040000,0.386580
0.060000,0.831128
0.080000,-270.235440
0.100000,7063.479655
0.120000,-82926.726695
0.140000,-200469.452677
0.160000,27886954.135355
0.180000,-568601212.686129
0.200000,5468990799.108381
0.220000,17709829324.794285
0.240000,-1614416092850.305664
0.260000,29427215909696.105469
0.280000,-253422337054939.218750
0.300000,-1068675080879797.625000
0.320000,73661009899546800.000000
0.340000,-1246202553400504832.000000
0.360000,9857685533378889728.000000
0.380000,52590067200472449024.000000
0.400000,-2946973069530113769472.000000
0.420000,47014993376069294227456.000000
0.440000,-344686447405371771322368.000000
0.460000,-2277959029817832653193216.000000
0.480000,108413605239144764007251968.000000
0.500000,-1644564682528226481438457856.000000
0.520000,11201389901039809842267553792.000000
0.540000,90397682329801939863333765120.000000
0.560000,-3761795374574481345695275024384.000000
0.580000,54524411085403438541203658768384.000000
0.600000,-344606437879108937924336469147648.000000
0.620000,-3365163824192441451033261082935296.000000
0.640000,124999879523358826328759544334778368.000000
0.660000,-1736519164128393506000787901025091584.000000
0.680000,10146341572481861083751735369119301632.000000
0.700000,119307752744578723008721461585268178944.000000
0.720000,-4016915971647107222148208245358179909632.000000
0.740000,53594851860129376062691201055205403656192.000000
0.760000,-287781242655869270425332404507060406845440.000000
0.780000,-4070158896897852553743610888386647045439488.000000
0.800000,125679273633529031276330132317561372633202688.000000
0.820000,-1612655011015844998059723950189861707400085504.000000
0.840000,7891413553755706074994129023005788164574937088.000000
0.860000,134588352749453311000946030645476862558671470592.000000
0.880000,-3846882824934695053310840005212130928597217050624.000000
0.900000,47512749302384749667123001321360222593348517494784.000000
0.920000,-209495766597198079656690748362867825286888957149184.000000
0.940000,-4337029644155039310202738554053798118523296427278336.000000
0.960000,115603902874003843399396619765252338215718158809956352.000000
0.980000,-1375031131898259551117322749177733344492204502099689472.000000
1.000000,5379850017917305119774685913011738925826285229431586816.000000
