Time (s),Acceleration (m/s^2)
0.000000,0.000000
0.020000,-0.072148
0.040000,2.027830
0.060000,74.608550
0.080000,-4503.660804
0.100000,81510.944408
0.120000,287811.739550
0.140000,-46803860.674628
0.160000,1026054883.088262
0.180000,-5387851231.339602
0.200000,-270195409723.212158
0.220000,8148499168310.959961
0.240000,-86789461869021.531250
0.260000,-888179064673202.500000
0.280000,48563937436114856.000000
0.300000,-759084818864960128.000000
0.320000,628956976067830400.000000
0.340000,227188354028095569920.000000
0.360000,-4997440259996554100736.000000
0.380000,34934775766421604401152.000000
0.400000,792661917742710856351744.000000
0.420000,-27002828683638383583428608.000000
0.440000,321967267912400714411802624.000000
0.460000,1358994506712191960963088384.000000
0.480000,-122435214022559506662581862400.000000
0.500000,2108006684692539889451727323136.000000
0.520000,-7522951086671614031380575420416.000000
0.540000,-453757321307295391506523976892416.000000
0.560000,11351190067057036287861682490834944.000000
0.580000,-100359873690798800877784328048738304.000000
0.600000,-1190743857077724520202887110575783936.000000
0.620000,52262408341287394855354415585016414208.000000
0.640000,-715420655772181835402268625387172921344.000000
0.660000,-271441500984012984636064106124060655616.000000
0.680000,204709229785273684131190895017836763152384.000000
0.700000,-4013657338194078889421505565604347994177536.000000
0.720000,23413495420307678694837287441232241595777024.000000
0.740000,640551503246827770363676322033286725526093824.000000
0.760000,-19172358811234371368837994981252723269475237888.000000
0.780000,205063266059996406266900185185821176175842557952.000000
0.800000,1175534906291922858106290578314008201450909335552.000000
0.820000,-79199941644164645188900096026414594518760569176064.000000
0.840000,1246813515820220460002170193227086339705165861355520.000000
0.860000,-3139521310370109447341044601775752983970115078848512.000000
0.880000,-275672360769475932782670665627558656028649701016338432.000000
0.900000,6283562873648912003245581925554898900074713578815356928.000000
0.920000,-49421416097765526237265526341872008489723307811722493952.000000
0.940000,-718768365071002819774507666747927453094137951987871776768.000000
0.960000,27408794534424684591517432407280592034131534882221724794880.000000
0.980000,-345631004771166267338322129603779453539798495862829982154752.000000
1.000000,-554538384975708566164113636745410082169650476988981741355008.000000
1.020000,103259920422335579684614248737104253395998414199508346410631168.000000
1.040000,-1875489594033952923477947029075171902276466253436580619127619584.000000
1.060000,9209068315654118279096825820429057632760681275124929985775665152.000000
1.080000,318840779188273981418583219757932216262584922830273042378674667520.000000
1.100000,-8681633497470429856934690017141000365727384999743298419240403468288.000000
1.120000,85043566221058951897847367483022592981911341173578647227228993093632.000000
1.140000,639933534162385801004871010165419547624590485469941465689930002857984.000000
1.160000,-34998676456430513889131605443007757363919440115738805313706399975342080.000000
1.180000,513482045693537638164834878703779811749996977695176274512635516596256768.000000
1.200000,-768385067473841119721873874588516187884818828855741553537922674007736320.000000
1.220000,-120461272896316796445704560432339307674319278385610325571466256478392811520.000000
1.240000,2548140486550277104738206540097656900219873533119553856104516107741792567296.000000
1.260000,-17889605323086205036797310408256302657459040568703002996845913342937342672896.000000
1.280000,-321944642733797312635189917641639629416797877301695931134430652398113566752768.000000
1.300000,10958427161053552690308856569110652318130641462400472739318625617590416884891648.000000
1.320000,-128487091428391248749521544929735177986631090263928041695363109357202189976600576.000000
1.340000,-376963977918056993624800824283545201917342499370034533489735703104656005341904896.000000
1.360000,40972714110211191709894150875526828902222525417175071533965355097526398463953076224.000000
1.380000,-696551732512990102424498392770163288604195065276630127602034645835722766306754166784.000000
1.400000,2799978957260817273577547003944838074663854624204820017220511911462767204728213340160.000000
1.420000,127677881782729029708317434203021705457736514982221899284731187256969818319022406500352.000000
1.440000,-3205851561892079107243445913203054979707372315463224972938620001545427315214465305149440.000000
1.460000,28816031582515214913427754015193258240245120780168059429499543321306195360775533443940352.000000
1.480000,277414957181817253436659264833530865855310086538267850654388209512582466022626784360529920.000000
1.500000,-12876432627948370780049095263436021284626629070216898488810404277458028842431054312468643840.000000
1.520000,177031223187705123761835788083843352510497188276465183031661705847279612903243897423221751808.000000
1.540000,-76513646109780414928019881633217446048011234036973052680958158835215185461305780519839989760.000000
1.560000,-44529985178485695064268939310623336654011624118181024693969317220900431808290008383789192970240.000000
1.580000,880903177199659877345658289933488247303502738645697746402682559054471510761351505288426694901760.000000
1.600000,-5469654550250806991227003402714631982946550583123365180969212514587888455136883921704812319604736.000000
1.620000,-122804544619288203817565461267159077361679076591918772932279796225760395370986733950760458853023744.000000
1.640000,3790225588684082193417421887865373871287331333576780928941979678334572955652446629499203693817364480.000000
1.660000,-41381616417728374216187809891189822677535930214096815654404231502887591480240651851141013825438875648.000000
