Time (s),Acceleration (m/s^2)
0.000000,0.000000
0.020000,-0.030643
0.040000,0.801041
0.060000,57.667046
0.080000,-3458.195526
0.100000,65299.888942
0.120000,637722.325121
0.140000,-65108897.474188
0.160000,1520743270.196011
0.180000,-5294272866.604527
0.200000,-696419839002.326050
0.220000,21870718044899.535156
0.240000,-232422179572309.406250
0.260000,-4683434709254233.000000
0.280000,235263444481715008.000000
0.300000,-3893450589471963136.000000
0.320000,-8977811632928060416.000000
0.340000,2006106755882476896256.000000
0.360000,-46835381266076900786176.000000
0.380000,290011233940528695345152.000000
0.400000,13275710337015717507891200.000000
0.420000,-456946766587984294237437952.000000
0.440000,5636207494723609250121121792.000000
0.460000,55412116104912521903617343488.000000
0.480000,-3747984661813492980001324138496.000000
0.500000,68728225658824294223675486371840.000000
0.520000,-118575790195606544386811626520576.000000
0.540000,-25590539023645513260767892352270336.000000
0.560000,671377335609208912993783727559540736.000000
0.580000,-5800908173610385056895166645125775360.000000
0.600000,-133420367547640060445033575330802040832.000000
0.620000,5577632274307629676470130267713198620672.000000
0.640000,-80497521889261546953026699864831028101120.000000
0.660000,-309335347419816208241688854214210695987200.000000
0.680000,39715597293854320333671619032584060623912960.000000
0.700000,-828332030521367188876104321603282718353784832.000000
0.720000,4002230348667933854533313491813504504343560192.000000
0.740000,233280194405543211787928409262173923791897362432.000000
0.760000,-7150159835624088129638382739128691650675538395136.000000
0.780000,78268459298090079644312856385651256713723296874496.000000
0.800000,952606572479443136629060873048127547093993115353088.000000
0.820000,-53372890372697687983226672490955817744855526348423168.000000
0.840000,893716135135243471317569552011615702355872867262922752.000000
0.860000,-330543257122452999306129203572031438223592268081659904.000000
0.880000,-340676172005027977801558040228797817545389465754455244800.000000
0.900000,8188785596417110726080384891837112418255929744356852891648.000000
0.920000,-61251385514615434197837282200671115199288123429913521815552.000000
0.940000,-1727527672764960671071425836425072954209909450840743109197824.000000
0.960000,64452784799069154784065241344148547116168367159340517545738240.000000
0.980000,-852115400865446420272309686460058165154173798439167646830166016.000000
1.000000,-4779439784019995181196660773459282582587754456740283123066994688.000000
1.020000,440457085910671977694320805341915756800000550852546412553823059968.000000
1.040000,-8520704583754272981001812156302351336043770793258495790681363054592.000000
1.060000,31206032042919307967187567804636411527246106973389818866782963761152.000000
1.080000,2532063601659784420071919548051280137101867944864221414495871182045184.000000
1.100000,-71355105190839165997333388696243191343215793559371486764106772331364352.000000
1.120000,705707329573602549684910047111244607379717491681962554155531295627673600.000000
1.140000,10692338880908193481160220984585724252180777185292757075521532927101894656.000000
1.160000,-519387423983771513251494336802206888808975372601469727449627216049774526464.000000
1.180000,8086545010767978358046693459930893854016264289247321740554946902451491438592.000000
1.200000,8321425353740028037698872445126995925333742137737027522273494963723855462400.000000
1.220000,-3265843232353591913514780146497661121396547870583628323868313677651635597213696.000000
1.240000,73156461432284011600632949072427448465977616843181340196053308955041859557654528.000000
