Time (s),Acceleration (m/s^2)
0.000000,-0.000000
0.020000,0.002062
0.040000,-0.053965
0.060000,-0.034904
0.080000,19.984072
0.100000,-403.395403
0.120000,3670.689693
0.140000,4307.483146
0.160000,-653886.740201
0.180000,10287108.808360
0.200000,-76820526.425229
0.220000,-138526546.310490
0.240000,12001369718.589846
0.260000,-168660345377.598907
0.280000,1129963984500.827148
0.300000,2830256888957.207031
0.320000,-173585978035753.531250
0.340000,2262750130304867.500000
0.360000,-13957394844008906.000000
0.380000,-45871677061235352.000000
0.400000,2201250608567292416.000000
0.420000,-27044331170222100480.000000
0.440000,155045218634266476544.000000
0.460000,645632849103409381376.000000
0.480000,-25665759381686530867200.000000
0.500000,299703934366831333081088.000000
0.520000,-1601591175770576554819584.000000
0.540000,-8262137689727100675686400.000000
0.560000,282233317807760713095053312.000000
0.580000,-3148080991580337757640196096.000000
0.600000,15672942385690236428199395328.000000
0.620000,98716852324798155454096080896.000000
0.640000,-2971910289168065361770318921728.000000
0.660000,31765960872635097502383444328448.000000
0.680000,-146915985956195996243992193794048.000000
0.700000,-1119822751488041886250832700112896.000000
0.720000,30262578055416747652114582121480192.000000
0.740000,-310634391968802092884884478878547968.000000
0.760000,1328177463056227222294691962775666688.000000
0.780000,12196758477927060118865378155239047168.000000
0.800000,-300013931777112631515925771074609872896.000000
0.820000,2961633024133484495694491016285623681024.000000
0.840000,-11626600102392245599095756117950712512512.000000
0.860000,-128561249745216909139596963403803809284096.000000
0.880000,2909590448130924141682004229071714572566528.000000
0.900000,-27649389059294951464509357909062962888310784.000000
0.920000,98741834321145862592870880654976380575940608.000000
0.940000,1319029006751522808482196030594896203868012544.000000
0.960000,-27702811193296318421546493115771093172472512512.000000
0.980000,253570779492275891432029818284163225196047630336.000000
1.000000,-813667821266997996074292845440484849438141972480.000000
1.020000,-13230158076717383678155692802423713024356216995840.000000
1.040000,259653608986228012676433393385645528012618748395520.000000
1.060000,-2289920069251283570340227869230219113278643806142464.000000
1.080000,6493334321309091513304917167520466793158516993425408.000000
1.100000,130166297884822589143684962296732154085338843097071616.000000
1.120000,-2400821682015728550305644729688784135627760273738170368.000000
1.140000,20401172202344538831763035436445013115599785443058515968.000000
1.160000,-49954084070524982358943072463305678443095020573623844864.000000
1.180000,-1259510780304468566781014072382004568028428316391151501312.000000
1.200000,21935514710172765601944811109777813874605612425174832906240.000000
1.220000,-179569082854452476034938575514766442426886754090178123399168.000000
1.240000,367163325001988671074598901783230666027844732737486516649984.000000
1.260000,12011418152987157158481405128388682490021465539555096744951808.000000
1.280000,-198310056106399217776348702500419255313691989115714625425375232.000000
1.300000,1563299901322053647150229832510871054782953173109341859956654080.000000
1.320000,-2533496179433610254638739893367561139128996237181909771407589376.000000
